Rep,Dropout+AC0-NLL,Dropout+AC0-MSE
0,6.5459614818,84.5450386295
1,2.1641534823,7.1931281515
2,5.2607334967,22.0476200898
3,15.697397876,101.2613701621
4,3.9296411178,10.2704063208
5,5.7844221437,19.9931582623
6,2.7074724559,4.0522460874
7,8.8417541067,50.4421667836
8,2.7109414451,7.0442074793
9,3.4137464578,27.7375282612
10,5.7992140203,9.5680171438
11,13.3344283363,70.9823092343
12,3.9802051947,55.7562962758
13,3.6943740868,34.2811604475
14,3.6377960108,0.7147935558
15,12.7165247073,279.2058615253
16,2.9118301771,6.664028942
17,5.4493775702,57.605117997
18,9.8948657334,34.0836949981
19,6.789946329,99.0128245567
20,2.0573465581,1.9247047763
21,1.9471228686,1.7332629259
22,2.565419362,31.1680613371
23,10.9407540236,79.0475771644
24,5.9912751212,75.2245946468
25,4.0085880082,66.0254818493
26,4.1349347182,134.0254713282
27,4.0914355057,72.0195998019
29,4.5731015996,24.8715503845
30,21.0677762872,74.1130295856
31,2.8374697748,14.2547503847
32,5.8689344791,49.1601811487
33,5.7817833621,77.2026746486
34,7.1624282075,35.850669212
35,3.1555399223,54.0346997432
36,13.2033668628,38.2959200889
37,3.8031608805,27.110069086
38,4.0201742021,105.2753478453
39,5.6589451081,126.1536157607
40,3.2790028043,77.4428481299
41,4.0753608758,7.0030519396
42,3.8830090161,143.3480431306
43,9.410562895,32.2921340299
44,2.8685897175,3.6170536465
45,3.6784180813,22.9060939065
46,36.2800474486,43.0301379967
47,28.5625192759,92.9297197508
48,1.7006163488,2.43031227
49,4.6070894518,103.2432616752
50,3.2008580479,23.5455988911
51,6.3914542271,58.5918790854
52,19.492806694,1.3038350671
53,4.0109489123,41.2223461167
54,2.5833514855,12.6169788265
55,6.5586652728,22.7199608838
56,6.6981581943,43.766120625
57,6.3625395042,101.9230126359
58,13.4466955995,21.751934793
59,11.7276225055,2.4459816483
60,5.9295703779,101.8685888109
61,4.3080334281,58.4126131546
62,5.9255261579,1.9953626716
63,15.4298370877,89.1559469269
64,2.1948750013,2.9610660237
65,7.6617856227,99.8402090684
66,4.1560415916,29.6104947277
67,5.2185504574,1.0491134162
68,10.3608248538,82.3332629898
69,2.6758705248,4.2194472746
70,20.0136038157,1.0671322593
71,11.2923655263,79.4864764303
72,3.038491763,30.9204376644
73,2.7797171495,16.1587731087
74,3.5819314741,4.3037089169
75,10.4863305952,66.8152533746
76,5.6530973364,40.6444886715
77,7.0690385407,114.8838397567
78,7.2416201909,78.2541646248
79,3.8041041457,52.6869062487
80,14.9961493211,142.2509219788
81,2.9921757238,0.7991925953
82,3.2157115696,10.6227280502
83,6.9935855306,83.069710322
84,8.6910629976,33.4549538941
85,20.3143344497,99.7574172592
86,3.5986129173,22.5915499856
87,2.6441378178,7.3826081437
88,21.1344638059,70.5725484851
89,4.2008245591,39.9885448536
90,4.4271481219,29.7955089145
91,2.3245539399,1.5879073764
92,6.53160494,51.2420178775
93,8.6416250462,119.1297391842
94,15.6042521241,13.0463822745
95,8.7422581289,82.2807111357
96,4.9318843951,43.5816844843
97,15.9778259465,1.0677455355
98,3.6567275669,55.302320479
99,11.4963400766,84.6536950681
100,17.0680314448,122.0328173954
