Rep,Ensemble-NLL,Ensemble-MSE,Sigma-NLL,Sigma-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,1.6818591651472758,12.482354682390616,13.113066572043733,3.2636836216257823,20.225656323025774,17.18745426955048,1.6355693276570442,10.79904911862606
1,1.487848216019314,2.86090613589128,1.8949415802076732,3.798768750836588,16.087171245997702,15.086974664912793,1.669678042295555,0.9317409074813893
2,1.7895208450328028,1.479060036820715,1.8757855282923352,12.664719554416477,14.552645284827951,8.540671407796147,1.5973838385668977,0.940262084177595
3,1.0607732430226726,0.8488555347708635,2.921491588057515,42.864916587830166,16.512027015708767,7.8418209857008705,1.515801520405818,8.000577947899357
4,2.3866760216178577,5.259294785939345,2.727395397069789,24.8148457512744,11.444959511815235,4.088379774892927,1.6082517749666658,4.885575327373044
5,1.363293784603399,1.5895265527228983,2.0771097069060827,11.66516479355904,25.2027969707958,24.53214556556494,1.5964768089457686,7.768019685284083
6,1.6445277292635265,3.4443767178990394,1.929750939051676,2.379279303439948,15.360575115983229,7.9037353592928845,1.7821592006909606,13.247456208531725
7,1.3866244631160305,3.687106653998019,3.039879529854284,14.907127135540462,7.493247929504165,7.671246158892028,1.6247587625793214,2.64918083585394
8,1.5210579195191323,1.6197072815742146,2.6695338504230137,12.455369444533599,11.815217133120289,12.546930982141104,1.737924955397442,1.594926346971569
9,1.3882420052533764,4.001805169073346,1.7442453420454536,2.113674363519178,10.353209130340366,5.353581761945463,1.6414291965924073,4.032948348769737
10,1.5174274904759135,1.278200533796096,2.7342014673842505,35.794519965106666,11.846240453864857,7.38912329316416,1.4899297017228905,4.242643207275421
11,1.8285733100362724,21.991094166854765,2.687191820530153,29.88358791465017,9.199967716590402,9.367431747585634,1.6359721573778938,1.324403020324206
12,1.6383050013182452,2.159314255899753,1.870415216828262,9.460037388298817,6.58301276699673,6.90552128020141,2.038679274430765,9.368607713850595
13,2.3015275350727746,1.9854467136630705,2.7958571394560217,14.256122863852456,6.602941500779739,5.942761137067549,1.6406773930172711,1.1126355566629265
14,1.6894638993552669,4.709167387594441,1.9570295706706486,10.479918897676196,53.41077125000052,29.613660708105456,1.7037182663185828,4.36195577934195
15,1.7329991100859417,3.7944330594671345,3.0589932923201233,6.781887242521886,5.411443962894431,4.136939101444766,1.561193684405392,0.7638757286937542
16,1.4604309409686573,9.510975959048942,2.446755877947743,27.039485011161656,20.579004537989785,7.410193477611423,inf,2.9336860696129303
17,1.3838829255458733,2.374882901524152,2.6165649650296157,35.41997299476008,16.93102357892514,4.173172270651409,1.5567399093104644,2.068728163668776
18,1.3148322867410278,2.0024452133784747,2.9678664285155203,15.880978325793334,34.33234155024098,9.240915325123133,1.6877695761068632,8.36532539134767
