Rep,Ensemble-NLL,Ensemble-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,1.5137957511832951,4.10020957391109,30.500250127821367,27.703035763401548,1.7286262670685746,1.2563515253364286
1,1.47153315796607,3.1244475183884397,10.127824793014053,6.484095271416384,1.6948414583339857,8.254626710597934
2,1.6115221065054832,1.1868738283904943,8.065928380757374,4.293045848010455,1.6169200482296069,3.7500563053822025
3,1.6794310455719588,2.855322231500034,25.976081810158135,8.53780709190397,1.6218914327904879,6.141584304418455
4,1.0992965005186028,1.0952135499863325,8.621641454362821,9.255444236551662,1.5536801504325604,3.2343188167141927
5,1.5196776431203072,1.3979590769065182,10.612825695412914,7.2984619284727765,1.2723555474836532,1.1931200469641086
6,1.5098086274791647,9.31788862224129,14.017041591664606,17.540847463591763,1.6964701830872775,1.8155332646417808
7,1.6400587159458941,9.802388815153066,38.02000330234409,17.7481815889789,1.8097588854083242,13.956265562005104
8,1.48346019359935,3.2063535692536123,6.706709539414274,10.791671095020867,1.6725805138011387,3.1188592079279074
9,1.4933941210706003,3.317424681214758,8.334700547081436,8.992403402079916,1.6138823349429026,3.067150641721197
10,1.307606507766157,1.7532036711295955,87.69766153983737,9.184257410409138,1.533702816334189,7.4324930733881445
11,1.2122623750430461,1.5165596136825763,45.791298012793874,10.375091976327179,1.6572531132772284,3.7027428760913335
12,1.5492446962363524,1.8710673481270692,19.297783132729823,9.823950918614752,1.6785384270135737,1.3187449178340296
13,1.9984392189911389,1.7370448058518337,12.5556922895797,5.169593979183897,1.6776940331201626,1.2396809007778082
14,1.6109148883396798,1.9365495069052778,8.057748706238122,8.14450538118966,1.6243178846551518,5.294822806555104
15,1.391122124211771,5.534791926498297,10.938400008238991,9.68310343146772,1.3983772709512245,3.31798423748953
16,1.4539569383776796,4.335700295007701,15.159391183000263,7.8048194027491435,1.4548200632403303,1.974455318170898
17,2.091580490806965,8.116051427274883,24.776821559366773,20.605330331238083,1.7096875236630515,1.7971084840260443
18,1.2833321631185115,3.9526986388236587,13.828035192332573,11.739393672592309,1.6008401640791192,4.706435910597494
19,1.3650870768702712,2.2358146594713997,7.6793067676853015,9.002776800933141,1.820092111773706,6.694362290673067
20,1.5704381753522116,0.8335667878641686,6.899257717183482,7.229744997607537,1.631378973303527,1.4188825296513585
21,1.0783938853421524,1.2920684240153226,24.355408194934864,16.49959730946295,1.6238446173371361,10.060280178930395
22,1.433369320099355,2.1866286518901066,9.72713043762743,25.001929154079836,1.8816671509797502,18.16328596422811
23,1.5579860957568712,2.265750169325164,13.927658311979817,12.97999860134414,1.5708881029340072,2.2666445018452093
24,1.3932760857319364,6.764680690372651,12.923269197099689,18.064784549173204,1.8489554126060097,8.292377095117025
